Month,State,State_visitor_number
9,SD,160849
9,TN,1195589
9,TX,3939958
9,UT,449836
9,VA,1083266
9,VI,1065
9,VT,66845
9,WA,695737
9,WI,824583
9,WV,286292
9,WY,131988
10,AK,52360
10,AL,911813
10,AP,245
10,AR,538468
10,AS,81
10,AZ,840351
10,CA,3043809
10,CO,733631
10,CT,454928
10,DC,160045
10,DE,163474
10,FL,2963562
10,GA,1846465
10,GU,4017
10,HI,110070
10,IA,559678
10,ID,234818
10,IL,1741434
10,IN,1072188
10,KS,519681
10,KY,743454
10,LA,697942
10,MA,729615
10,MD,770125
10,ME,140006
10,MI,1267121
10,MN,726692
10,MO,1078763
10,MS,556417
10,MT,123997
10,NC,1444540
10,ND,120032
10,NE,388387
10,NH,214656
10,NJ,1155425
10,NM,315215
10,NV,553942
10,NY,2168083
10,OH,1663846
10,OK,691258
10,OR,441100
10,PA,1584780
10,PR,101548
10,RI,145620
10,SC,870575
10,SD,147917
10,TN,1229672
10,TX,3885933
10,UT,440104
10,VA,1058922
10,VI,1121
10,VT,66713
10,WA,673285
10,WI,755096
10,WV,290312
10,WY,115785
