Date,State,State_resident_number
02/10/2020,NC,55143
02/10/2020,ND,767527
02/10/2020,NE,55803
02/10/2020,NH,165196
02/10/2020,NJ,80337
02/10/2020,NM,621541
02/10/2020,NV,119167
02/10/2020,NY,193282
02/10/2020,OH,1221307
02/10/2020,OK,898131
02/10/2020,OR,348789
02/10/2020,PA,230001
02/10/2020,PR,830200
02/10/2020,RI,125568
02/10/2020,SC,61683
02/10/2020,SD,406717
02/10/2020,TN,59561
02/10/2020,TX,544971
02/10/2020,UT,2355603
02/10/2020,VA,196956
02/10/2020,VI,566742
02/10/2020,VT,626
02/10/2020,WA,27867
02/10/2020,WI,414903
02/10/2020,WV,389487
02/10/2020,WY,117425
02/17/2020,AK,34246
02/17/2020,AL,30930
02/17/2020,AR,464731
02/17/2020,AS,249587
02/17/2020,AZ,7
02/17/2020,CA,433367
02/17/2020,CO,1933714
02/17/2020,CT,346542
02/17/2020,DC,195877
02/17/2020,DE,35016
02/17/2020,FL,60218
02/17/2020,GA,1666340
02/17/2020,GU,820711
02/17/2020,HI,482
02/17/2020,IA,75641
02/17/2020,ID,257411
02/17/2020,IL,98381
02/17/2020,IN,888231
02/17/2020,KS,475464
02/17/2020,KY,231054
02/17/2020,LA,304102
02/17/2020,MA,369547
02/17/2020,MD,342497
02/17/2020,ME,355762
02/17/2020,MI,59749
02/17/2020,MN,661904
02/17/2020,MO,383389
02/17/2020,MP,466783
02/17/2020,MS,12
02/17/2020,MT,251463
02/17/2020,NC,52827
02/17/2020,ND,730020
02/17/2020,NE,53324
02/17/2020,NH,156661
02/17/2020,NJ,76697
02/17/2020,NM,579601
02/17/2020,NV,105810
02/17/2020,NY,181883
02/17/2020,OH,1118747
02/17/2020,OK,835753
02/17/2020,OR,333058
02/17/2020,PA,216514
02/17/2020,PR,779420
02/17/2020,RI,110303
02/17/2020,SC,55977
02/17/2020,SD,384625
02/17/2020,TN,56761
02/17/2020,TX,515237
02/17/2020,UT,2214041
02/17/2020,VA,185862
02/17/2020,VI,525001
02/17/2020,VT,551
02/17/2020,WA,26618
02/17/2020,WI,396034
02/17/2020,WV,371481
02/17/2020,WY,107214
02/24/2020,AK,32378
02/24/2020,AL,31620
02/24/2020,AR,480473
02/24/2020,AS,261664
02/24/2020,AZ,14
02/24/2020,CA,450271
02/24/2020,CO,2006340
02/24/2020,CT,366635
02/24/2020,DC,207557
02/24/2020,DE,36904
02/24/2020,FL,63577
02/24/2020,GA,1766511
02/24/2020,GU,849313
02/24/2020,HI,3140
02/24/2020,IA,78919
02/24/2020,ID,270577
02/24/2020,IL,102215
02/24/2020,IN,943169
02/24/2020,KS,509778
02/24/2020,KY,242113
02/24/2020,LA,323836
02/24/2020,MA,377674
02/24/2020,MD,368272
02/24/2020,ME,374394
02/24/2020,MI,65828
02/24/2020,MN,709891
02/24/2020,MO,401337
